Genome Name,Genome ID,ampicillin,cefotaxime,ceftazidime,cefuroxime,ciprofloxacin,gentamicin,meropenem,piperacillin/tazobactam,tigecycline,trimethoprim/sulfamethoxazole
Escherichia coli 001-E1-DxU,562.140902,1.0,,1.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 001-E1-S04,562.140907,1.0,,1.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 001-E1-S06,562.140901,1.0,,1.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 00116690-7bb9-11e9-a8d3-68b59976a384,562.100421,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Escherichia coli 002-E1-DxU,562.140904,1.0,,1.0,,0.0,0.0,0.0,,,0.0
Escherichia coli 002-E1-S01,562.140964,1.0,,1.0,,0.0,0.0,0.0,,,0.0
Escherichia coli 002b98bc-7bb9-11e9-a8d3-68b59976a384,562.10042,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Escherichia coli 004-E1-DxU,562.140906,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E1-S01,562.140903,1.0,,1.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E1-S02,562.1409,1.0,,1.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E1-S04,562.140905,1.0,,1.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E1-U01,562.140857,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E1-U02,562.14086,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E1-U04,562.140858,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E2-S02,562.140856,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E2-S06,562.140854,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E2-U01,562.140861,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E2-U02,562.140852,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 004-E2-U04,562.140855,1.0,,0.0,,1.0,0.0,0.0,,,0.0
